"", "V1"
146.3333282470703,1.0945021555741619e-09
146.4166717529297,8.716835586675131e-10
146.5,1.667167515151391e-10
146.5833282470703,0.0
146.6666717529297,0.0
146.75,0.0
146.8333282470703,0.0
146.9166717529297,9.165286802073624e-14
147.0,2.8485009896618216e-14
147.0833282470703,2.553356467300855e-15
147.1666717529297,0.0
147.25,0.0
147.3333282470703,0.0
147.4166717529297,6.13816611375334e-18
147.5,3.9194394090370554e-18
147.5833282470703,6.865991994981092e-19
147.6666717529297,0.0
147.75,0.0
147.8333282470703,0.0
147.9166717529297,0.0
148.0,4.322353934919852e-22
148.0833282470703,1.2276213017371038e-22
148.1666717529297,9.075481838551339e-24
148.25,0.0
148.3333282470703,0.0
148.4166717529297,0.0
148.5,3.264352339974421e-26
148.5833282470703,1.750758604076648e-26
148.6666717529297,2.796303523388504e-27
148.75,0.0
148.8333282470703,0.0
148.9166717529297,0.0
149.0,0.0
149.0833282470703,2.0171624119432552e-30
149.1666717529297,5.255257673740963e-31
149.25,3.0209828657940526e-32
149.3333282470703,0.0
149.4166717529297,0.0
149.5,0.0
149.5833282470703,1.6747266868221428e-34
149.6666717529297,7.770671986845446e-35
149.75,1.1241457528357301e-35
149.8333282470703,0.0
149.9166717529297,0.0
150.0,0.0
150.0833282470703,0.0
150.1666717529297,0.0
150.25,0.0
150.3333282470703,0.0
150.4166717529297,0.0
150.5,0.0
150.5833282470703,0.0
150.6666717529297,0.0
150.75,0.0
150.8333282470703,0.0
150.9166717529297,0.0
151.0,0.00430747214704752
151.0833282470703,0.48790615797042847
151.1666717529297,0.32578256726264954
151.25,0.05160059034824371
151.3333282470703,0.0
151.4166717529297,0.0
151.5,0.0
151.5833282470703,0.0
151.6666717529297,0.011766577139496803
151.75,0.48568451404571533
151.8333282470703,1.220025897026062
151.9166717529297,1.2299517393112183
152.0,1.3817274570465088
152.0833282470703,1.478310227394104
152.1666717529297,1.4951636791229248
152.25,0.5176599621772766
152.3333282470703,0.05707353726029396
152.4166717529297,0.0
152.5,0.0
152.5833282470703,0.06453308463096619
152.6666717529297,0.4222916066646576
152.75,0.7072551846504211
152.8333282470703,2.5461950302124023
152.9166717529297,3.0508179664611816
153.0,1.3700802326202393
153.0833282470703,0.8506978154182434
153.1666717529297,0.7470118999481201
153.25,0.32856348156929016
153.3333282470703,0.05137120187282562
153.4166717529297,0.0
153.5,0.0
153.5833282470703,0.0
153.6666717529297,4.5729939301963896e-07
153.75,3.820937854470685e-05
153.8333282470703,9.769109965418465e-06
153.9166717529297,5.247030685495702e-07
154.0,0.0
154.0833282470703,0.0
154.1666717529297,0.0
154.25,3.2315223830181594e-09
154.3333282470703,1.456282205936077e-09
154.4166717529297,2.0585849691556746e-10
154.5,0.0
154.5833282470703,0.0
154.6666717529297,0.0
154.75,7.209286471835177e-14
154.8333282470703,1.7632645560664018e-13
154.9166717529297,4.145719073480984e-14
155.0,1.492374114877551e-15
155.0833282470703,0.0
155.1666717529297,0.0
155.25,0.0
155.3333282470703,1.607019197107808e-17
155.4166717529297,6.414525915636388e-18
155.5,8.116437825050207e-19
155.5833282470703,0.0
155.6666717529297,0.0
155.75,0.0
155.8333282470703,6.227698640760045e-22
155.9166717529297,8.070419150322725e-22
156.0,1.7458287004333454e-22
156.0833282470703,2.9437009293634704e-24
156.1666717529297,0.0
156.25,0.0
156.3333282470703,0.0
156.4166717529297,7.839599219580516e-26
156.5,2.8079507002829826e-26
156.5833282470703,3.1360674174925506e-27
156.6666717529297,0.0
156.75,0.0
156.8333282470703,0.0007544246618635952
156.9166717529297,0.8349302411079407
157.0,1.0759004354476929
157.0833282470703,0.5929140448570251
157.1666717529297,0.6307461857795715
157.25,1.4586470127105713
157.3333282470703,1.3647608757019043
157.4166717529297,0.33647334575653076
157.5,0.011363184079527855
157.5833282470703,0.0
157.6666717529297,0.0
157.75,0.0
157.8333282470703,0.0001328325888607651
157.9166717529297,5.2300583774922416e-05
158.0,6.524220225401223e-06
158.0833282470703,0.0
158.1666717529297,0.0
158.25,0.0
158.3333282470703,5.3777480246708365e-09
158.4166717529297,6.6100382944966896e-09
158.5,1.4155664418424863e-09
158.5833282470703,2.0433391090257658e-11
158.6666717529297,0.0
158.75,0.0
158.8333282470703,0.0
158.9166717529297,6.466800836144038e-13
159.0,2.2877338044791085e-13
159.0833282470703,2.5138270913667438e-14
159.1666717529297,0.0
159.25,0.0
159.3333282470703,0.0
159.4166717529297,3.4434764585696543e-17
159.5,2.999942544990966e-17
159.5833282470703,5.905096395637949e-18
159.6666717529297,0.0
159.75,0.0
159.8333282470703,0.0
159.9166717529297,0.0
160.0,3.1008038581706232e-21
160.0833282470703,9.944546673768278e-22
